Alpha-3 code;acled_conflict;idmc_displacement_conflict;idmc_displacement_disaster;ipc_food_insecurity;jrc_agricultural_hotspots;Latitude;Longitude
AFG;True;True;True;True;True;33.0;65.0
ALA;False;False;False;False;False;60.116667;19.9
ALB;True;False;True;False;False;41.0;20.0
DZA;True;False;True;False;True;28.0;3.0
ASM;False;False;True;False;False;-14.3333;-170.0
AND;True;False;True;False;False;42.5;1.6
AGO;True;True;True;True;True;-12.5;18.5
AIA;False;False;False;False;False;18.25;-63.1667
ATG;True;False;True;False;False;17.05;-61.8
ARG;True;False;True;False;False;-34.0;-64.0
ARM;True;True;True;False;False;40.0;45.0
ABW;False;False;False;False;False;12.5;-69.9667
AUS;True;False;True;False;False;-27.0;133.0
AUT;True;False;True;False;False;47.3333;13.3333
AZE;True;True;True;False;False;40.5;47.5
BHS;True;False;True;False;False;24.25;-76.0
BHR;True;False;False;False;False;26.0;50.55
BGD;True;True;True;True;True;24.0;90.0
BRB;True;False;True;False;False;13.1667;-59.5333
BLR;True;True;False;False;False;53.0;28.0
BEL;True;False;True;False;False;50.8333;4.0
BLZ;True;False;True;False;False;17.25;-88.75
BEN;True;True;True;True;True;9.5;2.25
BMU;False;False;True;False;False;32.3333;-64.75
BTN;True;False;True;False;False;27.5;90.5
BOL;True;True;True;False;True;-17.0;-65.0
BIH;True;True;True;False;False;44.0;18.0
BES;False;False;False;False;False;12.183333;-68.233333
BWA;True;False;True;False;True;-22.0;24.0
BVT;False;False;False;False;False;-54.4333;3.4
BRA;True;True;True;False;False;-10.0;-55.0
IOT;False;False;False;False;False;-6.0;71.5
BRN;False;False;False;False;False;4.5;114.6667
BGR;True;False;True;False;False;43.0;25.0
BFA;True;True;True;True;True;13.0;-2.0
BDI;True;True;True;True;True;-3.5;30.0
KHM;True;True;True;False;True;13.0;105.0
CMR;True;True;True;True;True;6.0;12.0
CAN;True;False;True;False;False;60.0;-95.0
CPV;True;False;True;True;False;16.0;-24.0
CYM;False;False;True;False;False;19.5;-80.5
CAF;True;True;True;True;True;7.0;21.0
